kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
16.4;0000-2400;;NOR;JXN Marine Norway;;NEu;no;1;;
18.2;0000-2400;;IND;VTX Indian Navy;;SAs;v;1;;
18.3;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
19.6;0000-2400;;G;GQD Anthorn;;WEu;an;1;;
19.8;0000-2400;;AUS;NWC US/Australian Navy;;Oc;ex;1;;
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
20.5;0541-0547;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
20.9;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
21.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
21.7;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
23;0535-0541;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
23.4;0000-2400;;D;DHO38 German Navy;;Eu;rf;1;;
23.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
24;0000-2400;;USA;NAA US Navy Cutler;;NAO;cu;1;;
24.8;0000-2400;;USA;NLK US Navy Jim Creek;;NAO;jc;1;;
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25;0500-0525;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.1;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.1;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.1;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.1;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.1;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.1;0525-0530;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.2;0000-2400;;USA;NML US Navy;;NAm;lm;1;;
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.5;0530-0535;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;
45.9;0000-2400;;I;NSY Sicily;;SEu;sy;1;;
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;
68.5;0000-2400;;CHN;BPC Time Signal;-TS;FE;sq;1;;
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;
129.1;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;
135.6;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;
139;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;
145;0000-2400;irr;E;Spanish Navy FSK;;Eu;gm;1;;
147.3;0000-2400;;D;DDH47 DWD Pinneberg RTTY;E;Eu;pi;1;;
171;0000-0004;Mo;MRC;Medi 1;A;NAf;n;4;;
171;0000-0100;Tu-Su;MRC;Medi 1;A;NAf;n;4;;
171;0100-0200;Mo-Tu;MRC;Medi 1;A;NAf;n;2;;
171;0100-0200;We-Su;MRC;Medi 1;F;NAf;n;2;;
171;0004-0100;Mo;MRC;Medi 1;F;NAf;n;4;;
171;0200-0300;Su-Tu;MRC;Medi 1;A;NAf;n;2;;
171;0200-0300;We-Sa;MRC;Medi 1;F;NAf;n;2;;
171;0300-0528;;MRC;Medi 1;A;NAf;n;2;;
171;0528-0558;;MRC;Medi 1;F;NAf;n;2;;
171;0558-0610;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;0558-0613;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;0610-0650;Mo-Fr;MRC;Medi 1;F;NAf;n;2;;
171;0613-0656;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;0650-0656;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;0656-0721;;MRC;Medi 1;A;NAf;n;2;;
171;0721-0758;;MRC;Medi 1;F;NAf;n;2;;
171;0758-0810;;MRC;Medi 1;A;NAf;n;2;;
171;0810-0855;;MRC;Medi 1;F;NAf;n;2;;
171;0855-0904;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;0900-0930;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;0904-1000;Mo-Fr;MRC;Medi 1;F;NAf;n;2;;
171;0930-0933;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;0933-1000;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;1000-1003;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;1000-1030;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;1003-1034;Mo-Fr;MRC;Medi 1;F;NAf;n;2;;
171;1034-1100;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;1030-1100;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;1100-1102;;MRC;Medi 1;F;NAf;n;2;;
171;1102-1130;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;1102-1130;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;1130-1200;;MRC;Medi 1;F;NAf;n;2;;
171;1200-1214;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;1200-1230;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;1214-1255;Mo-Fr;MRC;Medi 1;F;NAf;n;2;;
171;1230-1259;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;1255-1259;Mo-Fr;MRC;Medi 1;A;NAf;n;2;;
171;1259-1300;;MRC;Medi 1;F;NAf;n;2;;
171;1300-1333;Tu-Fr;MRC;Medi 1;A;NAf;n;2;;
171;1300-1333;Sa-Mo;MRC;Medi 1;F;NAf;n;2;;
171;1333-1400;;MRC;Medi 1;F;NAf;n;2;;
171;1400-1403;;MRC;Medi 1;A;NAf;n;2;;
171;1403-1430;Mo;MRC;Medi 1;A;NAf;n;2;;
171;1403-1430;Tu-Su;MRC;Medi 1;F;NAf;n;2;;
171;1430-1434;;MRC;Medi 1;F;NAf;n;2;;
171;1434-1500;Mo;MRC;Medi 1;A;NAf;n;2;;
171;1434-1500;Tu-Su;MRC;Medi 1;F;NAf;n;2;;
171;1500-1503;;MRC;Medi 1;A;NAf;n;2;;
171;1503-1530;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;1503-1535;Mo-Fr;MRC;Medi 1;F;NAf;n;2;;
171;1530-1535;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;1535-1600;Sa-Th;MRC;Medi 1;A;NAf;n;2;;
171;1535-1600;Fr;MRC;Medi 1;F;NAf;n;2;;
171;1600-1603;;MRC;Medi 1;A;NAf;n;2;;
171;1603-1700;;MRC;Medi 1;F;NAf;n;2;;
171;1700-1703;Mo-Sa;MRC;Medi 1;A;NAf;n;2;;
171;1700-1730;Su;MRC;Medi 1;A;NAf;n;2;;
171;1703-1759;Mo-Sa;MRC;Medi 1;F;NAf;n;2;;
171;1730-1734;Su;MRC;Medi 1;F;NAf;n;2;;
171;1734-1759;Su;MRC;Medi 1;A;NAf;n;2;;
171;1759-1813;;MRC;Medi 1;A;NAf;n;2;;
171;1813-1858;;MRC;Medi 1;F;NAf;n;2;;
171;1858-1928;;MRC;Medi 1;A;NAf;n;2;;
171;1928-1950;;MRC;Medi 1;F;NAf;n;2;;
171;1950-1955;Tu-Su;MRC;Medi 1;A;NAf;n;2;;
171;1950-1955;Mo;MRC;Medi 1;F;NAf;n;2;;
171;1955-2020;;MRC;Medi 1;A;NAf;n;2;;
171;2020-2023;SaSu;MRC;Medi 1;F;NAf;n;2;;
171;2020-2030;Mo-Fr;MRC;Medi 1;F;NAf;n;2;;
171;2023-2030;SaSu;MRC;Medi 1;A;NAf;n;2;;
171;2030-2058;;MRC;Medi 1;A;NAf;n;2;;
171;2058-2158;;MRC;Medi 1;F;NAf;n;2;;
171;2158-2215;;MRC;Medi 1;A;NAf;n;2;;
171;2215-2258;Mo-Th;MRC;Medi 1;A;NAf;n;2;;
171;2215-2258;Fr-Su;MRC;Medi 1;F;NAf;n;2;;
171;2258-2316;;MRC;Medi 1;F;NAf;n;2;;
171;2316-2358;Fr,Su;MRC;Medi 1;A;NAf;n;2;;
171;2316-2358;12346;MRC;Medi 1;F;NAf;n;2;;
171;2258-2304;Su;MRC;Medi 1;A;NAf;n;5;;
171;2258-2400;Mo-Sa;MRC;Medi 1;A;NAf;n;5;;
171;2304-2400;Su;MRC;Medi 1;F;NAf;n;5;;
171;2358-2400;;MRC;Medi 1;A;NAf;n;4;;
225;1740-1755;;CVA;Radio Vaticana;PO;Eu;/POL-sk;2;;
225;1755-1740;;POL;Polskie Radio 1;PO;Eu;sk;2;;
243;0442-0505;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0657-0805;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;1042-1115;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;1642-1720;;DNK;Danmarks Radio;DA;NEu;k;2;;
445;0000-2400;;CHN;XSQ Guangzhou Radio x30;M;FE;gx;1;;
462;0000-2400;;CHN;XSZ Dalian Radio (x05);M;FE;da;1;;
522.5;0030-0040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0230-0240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0430-0440;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0630-0640;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0830-0840;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1030-1040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1230-1240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1430-1440;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1630-1640;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1830-1840;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;2030-2040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;2230-2240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
567;0630-0700;;LAO;Lao National Radio;HM;SEA;v;1;;
567;0700-0730;;LAO;Lao National Radio;KHM;SEA;v;1;;
567;0855-1330;;LAO;Lao National Radio;LAO;SEA;v;1;;
567;1330-1400;;LAO;Lao National Radio;KH;SEA;v;1;;
567;1400-1430;;LAO;Lao National Radio;M;SEA;v;1;;
567;1430-1500;;LAO;Lao National Radio;E;SEA;v;1;;
567;1500-1530;;LAO;Lao National Radio;F;SEA;v;1;;
567;1530-1600;;LAO;Lao National Radio;T;SEA;v;1;;
567;1600-1630;;LAO;Lao National Radio;VN;SEA;v;1;;
567;1630-1632;;LAO;Lao National Radio;LAO;SEA;v;1;;
567;2100-2200;;LAO;Lao National Radio;M;SEA;v;1;;
567;2200-2230;;LAO;Lao National Radio;HM;SEA;v;1;;
567;2230-2300;;LAO;Lao National Radio;KHM;SEA;v;1;;
567;2300-0630;;LAO;Lao National Radio;LAO;SEA;v;1;;
576;0000-2400;;BUL;BNR Horizont;BU;BUL;vi;1;;
576;0600-0700;Mo-Fr;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;1300-1400;;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;1830-1930;;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;0330-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
576;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;y;1;;
576;0330-0700;;MYA;Myanma Radio;BR;SEA;y;1;;
576;0700-0730;;MYA;Myanma Radio;E;SEA;y;1;;
576;0710-0725;SaSu;MYA;Myanma Radio (NHK);E;SEA;y;1;;
576;0930-1530;;MYA;Myanma Radio;BR;SEA;y;1;;
576;1445-1500;Mo-Fr;MYA;Myanma Radio (NHK);BR;SEA;y;1;;
576;1500-1505;Th-Fr;MYA;Myanma Radio (NHK);BR;SEA;y;1;;
576;1530-1630;;MYA;Myanma Radio;E;SEA;y;1;;
576;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;y;1;;
576;2300-0230;;MYA;Myanma Radio;BR;SEA;y;1;;
585;0630-0700;;CVA;Radio Vaticana;L;SEu;;6;3010;3011
585;0700-0710;Su;CVA;Radio Vaticana;L;SEu;;6;3010;3011
585;0700-0715;Mo-Sa;CVA;Radio Vaticana;I;SEu;;6;3010;3011
585;0715-0730;Mo-Sa;CVA;Radio Vaticana;F;SEu;;6;3010;3011
585;0730-0745;Mo-Sa;CVA;Radio Vaticana;E;SEu;;6;3010;3011
585;0830-0915;Su;CVA;Radio Vaticana;I;SEu;;6;3010;3011
585;0850-1010;We;CVA;Radio Vaticana;Aud;SEu;;6;3010;3011
585;1050-1130;Su;CVA;Radio Vaticana;Ang;SEu;;6;3010;3011
585;1300-1320;;CVA;Radio Vaticana;I;SEu;;6;3010;3011
585;1700-1715;;CVA;Radio Vaticana;F;SEu;;6;3010;3011
585;1715-1730;;CVA;Radio Vaticana;E;SEu;;6;3010;3011
585;1940-2000;;CVA;Radio Vaticana;Ros;SEu;;6;3010;3011
585;1940-2010;1.Sa;CVA;Radio Vaticana;Ros;SEu;;6;3010;3011
594;0230-0245;;IND;AIR Delhi;HI;BGD;ko;1;;
594;0245-0300;;IND;AIR Delhi;E;BGD;ko;1;;
594;0830-0845;;IND;AIR Delhi;E;BGD;ko;1;;
594;0845-0900;;IND;AIR Delhi;HI;BGD;ko;1;;
594;1515-1530;;IND;AIR Delhi;HI;BGD;ko;1;;
594;1530-1545;;IND;AIR Delhi;E;BGD;ko;1;;
594;1545-1600;;IND;AIR Delhi;E;BGD;ko;1;;
594;0030-0230;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;0300-0830;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;1000-1515;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;1600-1730;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;n;1;;
594;0930-1530;;MYA;Myanma Radio;BR;SEA;n;1;;
594;1445-1500;Mo-Fr;MYA;Myanma Radio (NHK);BR;SEA;n;1;;
594;1500-1505;Th-Fr;MYA;Myanma Radio (NHK);BR;SEA;n;1;;
594;1530-1630;;MYA;Myanma Radio;E;SEA;n;1;;
594;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;n;1;;
594;2300-0230;;MYA;Myanma Radio;BR;SEA;n;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;China Radio Int.;CA;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0130-0230;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;0700-0800;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;1000-1100;;IND;All India Radio DIGITAL;E;SEA;ko;1;;
603;1115-1215;;IND;All India Radio DIGITAL;TAM;SEA;ko;1;;
603;1215-1315;;IND;All India Radio DIGITAL;BR;SEA;ko;1;;
603;1330-1430;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;0820-0830;Su;ROU;Radio Bukarest;D;ROU;;2;;
603;1200-1300;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
610;2300-2330;Mo,Sa;EQA;HCJB Voice of Andes;D;SAm;/PRG-f;1;;
612;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;q;1;;
612;0523-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
612;0000-1200;;KGZ;Kyrgyz Radiosu;KG;CAs;b;1;;
612;1200-1800;Su;KGZ;Kyrgyz Radiosu;KG;CAs;b;1;;
612;1410-1430;Su;KGZ;Birinchi Radio;R;CAs;b;1;;[1114]
612;1200-1300;;TWN;Radio Taiwan Int.;M;SEA;L;1;;
612;1300-1500;;TWN;Radio Taiwan Int.;M;SEA;L;1;;
612;1500-1600;;TWN;Radio Taiwan Int.;M;SEA;L;1;;
612;1600-1705;;TWN;Radio Taiwan Int.;M;SEA;L;1;;
621;0030-0730;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1330-2100;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;0730-1330;;KRE;Voice of Korea;J;J;c;1;;
621;2130-0030;;KRE;Voice of Korea;J;J;c;1;;
621;0400-0430;Mo-Fr;MDA;Radio PMR Pridnestrovye;UK;EEu;;2;;[1116]
621;0430-0500;Mo-Fr;MDA;Radio PMR Pridnestrovye;RO;EEu;;2;;
621;0500-0530;Mo-Fr;MDA;Radio PMR Pridnestrovye;R;EEu;;2;;
621;0400-1300;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;0100-0200;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;0200-0400;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1300-1400;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1400-1500;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1500-1600;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1600-1900;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
630;1100-1200;;ROU;Radio Temeswar;D;ROU;;2;;
630;1700-1800;;ROU;Radio Temeswar;D;ROU;;2;;
630;1600-1700;Su;ROU;Radio Timisoara;UK;ROU;;2;;[0216]
630;1700-1900;;TUR;Voice of Turkey;A;ME;m;1;;
639;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
639;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;pl;2;;
639;1905-1910;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
639;1905-1910;Mo-Fr;CZE;Radio Prague;E;CEu;pl;2;;
639;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1320-1620;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;bb;1;;
639;0130-0200;;MYA;Thazin Radio;E;SEA;p;1;;
639;0430-0630;;MYA;Thazin Radio;BR;SEA;p;1;;
639;0630-0700;;MYA;Thazin Radio;E;SEA;p;1;;
639;0930-1430;;MYA;Thazin Radio;BR;SEA;p;1;;
639;1430-1500;;MYA;Thazin Radio;E;SEA;p;1;;
639;2330-0130;;MYA;Thazin Radio;BR;SEA;p;1;;
657;0835-0850;We,Sa;IND;FEBA India;BE;SAs;kc;1;;
684;0000-0100;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1030-1130;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1200-1300;;CHN;China Radio Int.;E;SEA;d;1;;
684;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1400-1500;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1500-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;China Radio Int.;KH;SEA;d;1;;
684;0430-0630;;KRE;Echo of Unification;K;KOR;sg;6;3010;2012
684;1230-1430;;KRE;Echo of Unification;K;KOR;sg;6;3010;2012
684;2230-0030;;KRE;Echo of Unification;K;KOR;sg;6;3010;2012
693;1930-2000;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2000-2030;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2030-2100;;ALG;Radio Algiers Int.;F;NAf;r;1;;
693;2100-2130;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2130-2200;;ALG;Radio Algiers Int.;E;NAf;r;1;;
693;2200-2230;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2230-2300;;ALG;Radio Algiers Int.;A;NAf;r;1;;
702;1500-1600;;G;BBC;E;ME;/OMA-a;1;;
702;1600-1700;;G;BBC;E;ME;/OMA-a;1;;
702;1700-1800;;G;BBC;E;ME;/OMA-a;1;;
702;1800-1900;;G;BBC;E;ME;/OMA-a;1;;
702;1900-2000;;G;BBC;E;ME;/OMA-a;1;;
702;2000-2100;;G;BBC;E;ME;/OMA-a;1;;
702;0015-0430;;IND;All India Radio GOS;UR;PAK;j;1;;
702;0800-0830;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;0830-1130;;IND;All India Radio GOS;UR;PAK;j;1;;
702;1130-1230;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;1230-1300;;IND;All India Radio GOS;SIR;PAK;j;1;;
702;1300-1430;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;1430-1600;;IND;All India Radio GOS;UR;PAK;j;1;;
702;1600-1930;;IND;All India Radio GOS;UR;PAK;j;1;;
702;0323-0920;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1020-1650;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1720-1820;;IRN;IRIB Voice of I.R.Iran;TAL;Cau;ki;1;;
702;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;ki;1;;
702;1920-2020;;IRN;IRIB Voice of I.R.Iran;R;Cau;ki;1;;[0316]
711;0730-0800;Mo,Fr;IND;FEBA India;BE;SAs;si;1;;
720;0050-0220;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
720;0300-1500;;IRN;IRIB Voice of I.R.Iran;DR;AFG;t;1;;
720;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
729;2155-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
738;0030-0100;Mo-Sa;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0200-0230;;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0530-0600;;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0830-0900;;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;1230-1300;;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;1800-1830;;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0030-0100;Su;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;0500-0530;Su;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;0800-0830;Su;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;1300-1330;Mo;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;1930-2000;Sa;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;0330-0400;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;1100-1130;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;1600-1630;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;2200-2230;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;0230-0300;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;0630-0700;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;0800-0830;Mo-Sa;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1030-1100;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1330-1400;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1730-1800;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;2000-2030;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;2230-2300;Sa-Th;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;0100-0130;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;0300-0330;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;0600-0630;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;0930-1000;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;1400-1430;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;1700-1730;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;1930-2000;Su-Th;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;2130-2200;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;0130-0200;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;0500-0530;Mo-Fr;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;0900-0930;Sa-Th;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1130-1200;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1300-1330;Tu-Sa;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1430-1500;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1630-1700;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1900-1930;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;2300-2330;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;0400-0415;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;0730-0745;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;1200-1215;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;1530-1545;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;1830-1845;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;2030-2045;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;2330-2345;;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;0000-0030;;USA;Adventist World Radio;R;EEu;/RUS-m;1;;
738;0430-0500;;USA;Adventist World Radio;R;EEu;/RUS-m;1;;
738;0700-0730;;USA;Adventist World Radio;R;EEu;/RUS-m;1;;
738;1000-1030;;USA;Adventist World Radio;R;EEu;/RUS-m;1;;
738;1500-1530;;USA;Adventist World Radio;R;EEu;/RUS-m;1;;
738;2100-2130;;USA;Adventist World Radio;R;EEu;/RUS-m;1;;
765;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;0230-1250;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
765;1250-1320;;IRN;IRIB Voice of I.R.Iran;PS;SAs;c;1;;
765;1320-1420;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1520-1720;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1620-0120;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
